req,num_fail2pass,num_fail_orig,num_pass_orig,num_fail_retrained,num_pass_retrained
Sentiment-laden words in context,0,26,8632,969,7689
neutral words in context,1292,1330,386,38,1678
used to but now,270,1680,6320,2540,5460
simple negations: not neutral is still neutral,2107,2427,69,342,2154
Hard: Negation of positive with neutral stuff in the middle (should be negative),860,860,140,0,1000
my opinion is what matters,1823,3741,4787,2055,6473
Q & A: yes,1311,1793,7411,654,8550
,,,,,
Short sentences with neutral adjectives and nouns,34,89,10,60,39
Short sentences with sentiment-laden adjectives,0,7,190,38,159
Sentiment change over time present should prevail,12,12,38,0,50
Negated neutral should still be neutral,33,355,28,350,33
Negated positive with neutral content in the middle,460,471,70,11,530
Author sentiment is more important than of others,213,420,374,272,522
parsing sentiment in (question yes) form,9,14,523,73,464
